event_id,player_id,session_id,timestamp,event_type,game_scenario,social_mode,platform,player_level,event_value,reported_flag
f1879e893da9,player_0063,player_0063_s1,2026-07-15T04:53:01Z,session_start,lobby,multiplayer_pvp,pc,1,,
b575bd1c57e7,player_0063,player_0063_s1,2026-07-15T04:55:57Z,level_fail,level_2,multiplayer_pvp,pc,1,,
557a0b8da435,player_0063,player_0063_s1,2026-07-15T04:59:54Z,quest_accept,quest_goblin_camp,multiplayer_pvp,pc,1,,
310a2582adaf,player_0063,player_0063_s1,2026-07-15T05:02:50Z,friend_request_sent,level_2,multiplayer_pvp,pc,1,,
320e9b43d202,player_0063,player_0063_s1,2026-07-15T05:03:33Z,level_fail,level_2,multiplayer_pvp,pc,1,,
025ec1059451,player_0063,player_0063_s1,2026-07-15T05:06:57Z,party_join,lobby,multiplayer_pvp,pc,1,,
7fc5a6e1d22b,player_0063,player_0063_s1,2026-07-15T05:07:21Z,quest_accept,quest_lost_relic,multiplayer_pvp,pc,1,,
eb474e6feab0,player_0063,player_0063_s1,2026-07-15T05:10:10Z,item_purchase,level_2,multiplayer_pvp,pc,1,238,
4d8cd74c8487,player_0063,player_0063_s1,2026-07-15T05:10:52Z,session_end,lobby,multiplayer_pvp,pc,1,,
9aedcacdd4d0,player_0023,player_0023_s1,2026-07-15T16:02:03Z,session_start,lobby,multiplayer_pvp,mobile,4,,
2089e734a72d,player_0023,player_0023_s1,2026-07-15T16:05:30Z,enemy_kill,quest_goblin_camp,multiplayer_pvp,mobile,4,1,
1531f305014a,player_0023,player_0023_s1,2026-07-15T16:08:26Z,afk_timeout,quest_goblin_camp,multiplayer_pvp,mobile,4,,
34282bd45be8,player_0023,player_0023_s1,2026-07-15T16:12:24Z,party_join,lobby,multiplayer_pvp,mobile,4,,
4ea638de915d,player_0023,player_0023_s1,2026-07-15T16:12:52Z,rage_quit,quest_goblin_camp,multiplayer_pvp,mobile,4,,
df416d9394d6,player_0023,player_0023_s1,2026-07-15T16:15:48Z,achievement_unlocked,quest_goblin_camp,multiplayer_pvp,mobile,4,140,
8ea81df79a0a,player_0023,player_0023_s1,2026-07-15T16:17:25Z,level_start,level_3,multiplayer_pvp,mobile,4,,
4878713d2007,player_0023,player_0023_s1,2026-07-15T16:18:49Z,quest_abandon,quest_goblin_camp,multiplayer_pvp,mobile,4,,
e065183c88ed,player_0023,player_0023_s1,2026-07-15T16:19:48Z,enemy_kill,quest_goblin_camp,multiplayer_pvp,mobile,4,2,
1b28df1f088b,player_0023,player_0023_s1,2026-07-15T16:20:42Z,item_purchase,quest_goblin_camp,multiplayer_pvp,mobile,4,75,
70d9bf4dc8c9,player_0023,player_0023_s1,2026-07-15T16:21:26Z,level_fail,level_3,multiplayer_pvp,mobile,4,,
bb1f7c2ce5a7,player_0023,player_0023_s1,2026-07-15T16:25:07Z,quest_accept,quest_goblin_camp,multiplayer_pvp,mobile,4,,
