session_id,player_id,n_events,pct_attack,pct_explore,pct_social,pct_quest_complete,pct_retry,avg_decision_time_ms,fail_rate,true_persona
9f90aef8-dc0a-41a9-87e6-90c6775e3aa7,player_0000,65,0.092,0.062,0.108,0.154,0.092,788.6,0.154,Achiever
dc4c59ab-061e-4223-8a7d-99fa70d01b99,player_0001,53,0.094,0.132,0.189,0.151,0.075,745.9,0.132,Achiever
02e6e82f-5369-41cd-87c2-2dfbd8ca77cc,player_0002,77,0.299,0.039,0.026,0.104,0.039,491.7,0.182,Killer
57e639d4-c3a5-4b5b-aab1-b51663cd6aa9,player_0003,44,0.091,0.068,0.159,0.159,0.045,745.9,0.227,Achiever
46497de5-47c0-4070-b5cb-60613fbe07da,player_0004,72,0.014,0.056,0.778,0.056,0.0,1192.8,0.181,Socializer
0bf69054-fb99-4392-aa06-1fd0703d7854,player_0005,70,0.0,0.171,0.057,0.2,0.114,802.2,0.114,Achiever
e46f9560-a346-4042-995f-bfe2b963d35a,player_0006,32,0.094,0.031,0.406,0.094,0.0,1096.7,0.25,Socializer
29552780-b55f-4589-9308-8b4756c543ba,player_0007,51,0.078,0.137,0.392,0.176,0.02,1173.7,0.157,Socializer
de6d6244-3907-40d0-8526-fe72e802390d,player_0008,39,0.333,0.077,0.026,0.0,0.077,513.1,0.282,Killer
624242d7-aebe-444b-bfab-ee6aab520486,player_0009,48,0.042,0.125,0.604,0.104,0.0,1123.7,0.083,Socializer
be084951-4e15-400a-8a0f-333b9ef01189,player_0010,25,0.0,0.16,0.4,0.04,0.04,1188.9,0.28,Socializer
f782bbb7-39c8-4656-9813-fe1f08258fd0,player_0011,57,0.018,0.035,0.544,0.123,0.0,1095.4,0.193,Socializer
bf545d71-2e75-4a7a-bd2d-f73b7c42ec71,player_0012,41,0.024,0.024,0.171,0.366,0.146,787.3,0.122,Achiever
97b93eb2-7fe9-493c-985a-c64020cb8870,player_0013,69,0.014,0.072,0.522,0.087,0.029,1206.8,0.188,Socializer
9d7f5920-4cfa-4519-80ff-5b8d81885c0e,player_0014,76,0.421,0.039,0.0,0.0,0.092,493.9,0.224,Killer
