session_id,player_id,n_events,pct_attack,pct_explore,pct_social,pct_quest_complete,pct_retry,avg_decision_time_ms,fail_rate,true_persona
f94160e9-ba1c-44fa-aab0-6fb687b528b2,player_0000,65,0.092,0.062,0.108,0.154,0.092,788.6,0.154,Achiever
bed04bf1-b15c-4921-8278-0d363ca0ce2a,player_0001,53,0.094,0.132,0.189,0.151,0.075,745.9,0.132,Achiever
5fdf1fe9-2f6e-411e-8c74-3d856993ad1e,player_0002,77,0.299,0.039,0.026,0.104,0.039,491.7,0.182,Killer
c45afb96-98e2-4c7b-ac40-ef560ef2ab45,player_0003,44,0.091,0.068,0.159,0.159,0.045,745.9,0.227,Achiever
3315feb0-2f1b-43a3-8743-e29e260a3994,player_0004,72,0.014,0.056,0.778,0.056,0.0,1192.8,0.181,Socializer
350e2276-f764-4a02-8663-1a57c534ca41,player_0005,70,0.0,0.171,0.057,0.2,0.114,802.2,0.114,Achiever
c718c98e-f782-49be-9884-c7edb258e825,player_0006,32,0.094,0.031,0.406,0.094,0.0,1096.7,0.25,Socializer
44e01a9a-bef1-439f-afb4-48fbc22cc5a1,player_0007,51,0.078,0.137,0.392,0.176,0.02,1173.7,0.157,Socializer
25c2b278-fc78-4076-b6e8-3062a16e0ac9,player_0008,39,0.333,0.077,0.026,0.0,0.077,513.1,0.282,Killer
be5df259-76ca-43c0-aa6b-8ee2588de143,player_0009,48,0.042,0.125,0.604,0.104,0.0,1123.7,0.083,Socializer
1425e557-5f52-40b4-90ef-b34709d1fdee,player_0010,25,0.0,0.16,0.4,0.04,0.04,1188.9,0.28,Socializer
c0680cbe-bd8d-4147-8d65-16dbcd034878,player_0011,57,0.018,0.035,0.544,0.123,0.0,1095.4,0.193,Socializer
5782b422-cb6b-48be-942f-0a37af2c1a16,player_0012,41,0.024,0.024,0.171,0.366,0.146,787.3,0.122,Achiever
dd2c9f7d-ed22-4c4f-9f43-afd48c42efe3,player_0013,69,0.014,0.072,0.522,0.087,0.029,1206.8,0.188,Socializer
9c7ce467-4816-40b8-920f-ec1915bbdbff,player_0014,76,0.421,0.039,0.0,0.0,0.092,493.9,0.224,Killer
8fab43a2-9eee-4ec3-973c-48bb41d6f3f3,player_0015,77,0.091,0.039,0.052,0.26,0.195,773.9,0.13,Achiever
48a83f3a-d3cb-4320-8c5d-d1756acc6dfe,player_0016,60,0.0,0.3,0.317,0.117,0.033,1146.9,0.117,Socializer
b1afe74e-291a-46bb-818e-26d28e07493c,player_0017,35,0.114,0.143,0.086,0.286,0.114,734.1,0.114,Achiever
45ced092-3ebe-459d-a66c-01c402b3d9d7,player_0018,26,0.077,0.346,0.115,0.0,0.0,1032.0,0.269,Explorer
ac59f367-3af5-4ecc-b2e7-f05599b541ba,player_0019,45,0.133,0.022,0.444,0.0,0.067,1147.4,0.178,Socializer
e45d73fd-03be-4fca-b864-743adfa4dbdf,player_0020,60,0.0,0.05,0.583,0.05,0.0,1135.7,0.167,Socializer
bac06bd7-15bc-4169-b72b-383eeeee113a,player_0021,32,0.25,0.031,0.125,0.031,0.062,479.2,0.156,Killer
16218814-a2b3-43c7-bc38-74c8c4247d36,player_0022,48,0.083,0.042,0.062,0.521,0.042,726.5,0.146,Achiever
f3cb0615-8337-4a26-a62a-6b2fd7187884,player_0023,76,0.053,0.013,0.579,0.158,0.0,1151.1,0.105,Socializer
38a415c4-6735-4c62-b76d-247ed9ce64ec,player_0024,78,0.282,0.038,0.026,0.026,0.103,450.9,0.179,Killer
7f61e54d-8ff4-4425-abbc-fa7cf086d4eb,player_0025,60,0.083,0.05,0.017,0.25,0.15,770.0,0.067,Achiever
b3ac9d77-7125-4ab1-87d1-19fb61f5382c,player_0026,74,0.257,0.054,0.122,0.041,0.095,506.3,0.257,Killer
3a881175-0f90-4278-9a9e-eea25a575cf1,player_0027,67,0.194,0.045,0.448,0.104,0.03,1111.7,0.209,Socializer
45b86801-cbb5-469b-9454-9061226edbcc,player_0028,22,0.682,0.0,0.0,0.0,0.0,438.0,0.227,Killer
ef628eca-7ed4-48ff-9be8-0f34738d54c8,player_0029,78,0.538,0.141,0.0,0.013,0.077,484.9,0.256,Killer
6ff1534b-796a-40ba-a64f-d51d6290d907,player_0030,21,0.0,0.286,0.19,0.095,0.048,1078.2,0.143,Explorer
002afe16-9c76-4a0a-9cb4-dedd88ff3d3b,player_0031,25,0.44,0.08,0.04,0.0,0.0,506.4,0.24,Killer
46a7bfc2-3db5-432b-9402-2de82d471f37,player_0032,64,0.031,0.406,0.094,0.016,0.0,1036.1,0.219,Explorer
100379ab-8045-4fb1-b343-8b7ae787113d,player_0033,62,0.484,0.048,0.032,0.0,0.032,496.1,0.242,Killer
64e6bc36-cb83-4d11-abd3-241dd963fcd8,player_0034,35,0.2,0.029,0.114,0.314,0.0,747.1,0.143,Achiever
c91b0782-2dda-49bc-9801-5fa8fbb598ff,player_0035,79,0.076,0.139,0.076,0.101,0.114,758.4,0.127,Achiever
2c10fe62-4e24-422c-88dd-b44f8a5d4bd1,player_0036,79,0.063,0.228,0.076,0.025,0.025,1063.9,0.203,Explorer
c899b204-d085-4a59-b975-e6cddd3c3325,player_0037,65,0.4,0.062,0.015,0.015,0.154,506.9,0.123,Killer
d0ea9ab5-1026-4b67-9c6c-c3e279bca670,player_0038,61,0.131,0.098,0.148,0.344,0.066,722.7,0.18,Achiever
